20.06.2020 07:09:47 319, 953; 49, 141
20.06.2020 07:18:06 113, 880; 18, 137
20.06.2020 07:26:39 297, 914; 48, 146
20.06.2020 07:35:28 325, 958; 51, 140
20.06.2020 07:47:03 389, 978; 61, 135
20.06.2020 07:56:24 125, 1000; 18, 147
20.06.2020 08:05:57 225, 976; 33, 141
20.06.2020 08:15:48 127, 1011; 20, 148
20.06.2020 08:25:53 340, 894; 57, 144
20.06.2020 08:38:38 199, 898; 32, 143
20.06.2020 08:49:12 112, 860; 18, 143
20.06.2020 09:00:03 110, 873; 18, 139
20.06.2020 09:11:08 112, 867; 18, 141
20.06.2020 09:22:28 107, 936; 18, 148
20.06.2020 09:36:35 176, 900; 28, 142
20.06.2020 09:47:56 209, 847; 34, 140
20.06.2020 09:56:15 110, 805; 18, 137
20.06.2020 10:04:49 324, 818; 53, 138
20.06.2020 10:13:36 258, 861; 42, 142
20.06.2020 10:25:08 107, 875; 18, 146
20.06.2020 10:34:27 110, 897; 18, 148
20.06.2020 10:44:00 118, 917; 19, 148
20.06.2020 10:53:49 165, 896; 26, 145
20.06.2020 11:03:52 108, 895; 18, 143
20.06.2020 11:16:41 250, 872; 41, 144
20.06.2020 11:27:14 137, 872; 22, 145
20.06.2020 11:38:02 120, 932; 18, 141
20.06.2020 11:49:05 363, 1060; 53, 148
20.06.2020 12:00:23 117, 962; 18, 140
20.06.2020 12:14:27 129, 1047; 18, 150
20.06.2020 12:26:16 120, 1022; 18, 148
20.06.2020 12:38:21 284, 1001; 39, 147
20.06.2020 12:50:39 114, 1009; 18, 142
20.06.2020 13:03:12 111, 978; 17, 142
20.06.2020 13:18:23 116, 944; 18, 135
20.06.2020 13:31:27 296, 1050; 44, 147
20.06.2020 13:44:46 120, 955; 18, 141
20.06.2020 13:58:19 115, 991; 18, 135
20.06.2020 14:12:08 402, 965; 57, 142
21.06.2020 07:14:09 109, 832; 18, 134
21.06.2020 07:22:27 615, 843; 100, 138
21.06.2020 07:31:00 109, 901; 18, 147
21.06.2020 07:39:49 650, 895; 107, 147
21.06.2020 07:51:07 455, 858; 74, 141
21.06.2020 08:00:25 517, 906; 85, 149
21.06.2020 08:09:58 520, 913; 85, 149
21.06.2020 08:19:46 674, 916; 111, 150
21.06.2020 08:29:49 638, 908; 105, 148
21.06.2020 08:42:19 604, 914; 99, 150
21.06.2020 08:52:52 214, 887; 35, 145
21.06.2020 09:03:40 388, 923; 64, 152
21.06.2020 09:14:42 394, 927; 64, 152
21.06.2020 09:26:00 326, 896; 53, 146
